CUSTID,性別,地区,アクセサリ合計金額,インナーウエア合計金額,バッグ合計金額,化粧品合計金額,衣服合計金額,靴合計金額,食品合計金額,合計金額
100840,"F","西区",3154,15315,1350,46585,56220,6880,6630,136134
100841,"F","東区",0,3875,0,21196,32560,20394,0,78025
100843,"M",,0,0,9600,16444,5190,107950,2300,141484
100845,"F","東区",18830,26322,280712,57474,1960,28690,5784,419772
100848,"F","西区",0,37064,0,46350,118960,0,0,202374
100849,"M","西区",5464,15428,8265,102736,15908,183135,3098,334034
100850,"M","東区",27955,0,0,8350,23268,8226,20011,87810
100852,"F","東区",0,4000,0,46770,0,0,28670,79440
100853,"F","北区",30980,20980,8748,12020,40134,13136,13420,139418
100855,"F","西区",0,0,0,0,56570,0,0,56570
100856,"M","西区",12756,4620,1533,28026,1980,10759,18333,78007
100858,"M","東区",0,121192,18946,224460,79592,8300,7960,460450
100859,"M","北区",9385,268092,33161,25646,65750,21022,42469,465525
100864,"F","東区",0,5085,0,4764,1980,0,52088,63917
100865,"M","北区",2645,1200,1196,7580,15310,1060,1470,30461
100867,"M","北区",0,0,4950,0,30380,5790,28777,69897
100869,"M","東区",13995,0,1548,4000,1080,0,15500,36123
100874,"M","北区",0,3588,0,0,55001,0,0,58589
100876,"M","北区",0,39520,0,32049,41890,0,221400,334859
100878,"F","西区",0,8266,38466,113930,20442,12370,18746,212220
100881,"F","北区",62560,0,0,45933,1085,5940,0,115518
100883,"M","東区",0,4500,40321,10204,44199,33679,57859,190762
100886,"F","北区",0,4610,8212,8700,4731,0,0,26253
100887,"M","北区",0,7754,20436,19964,8770,3090,5380,65394
100888,"M","北区",0,10375,8880,34393,67410,88002,62240,271300
100891,"F","北区",216312,39214,61947,142144,57028,20130,37130,573905
100892,"M","西区",13840,39818,69718,87448,49180,295729,35451,591184
100895,"F","西区",12085,9043,0,0,0,0,5500,26628
100897,"F","北区",3400,1900,3800,10540,0,16062,0,35702
100898,"M","西区",0,0,1140,18468,1368,6651,7966,35593
100904,"F","西区",0,9070,8900,31500,109257,62460,8147,229334
100906,"F","西区",11608,140644,8156,59655,88096,283820,20660,612639
100908,"F","東区",0,16000,0,0,189840,0,0,205840
100910,"M","西区",2030,12670,0,2560,87886,0,0,105146
100914,"F","西区",0,17157,6264,8682,48305,10000,2980,93388
100918,"M","北区",17010,22970,0,5030,82000,0,0,127010
100919,"M","東区",0,12484,12550,10961,8852,2400,0,47247
100920,"F","東区",0,53037,0,4464,0,16732,26530,100763
100921,"F","北区",0,0,107404,0,0,0,0,107404
100923,"M","西区",14120,4028,0,0,555944,0,24510,598602
100925,"M","北区",3990,12674,7941,2040,14044,1872,0,42561
100927,"M","西区",0,15291,7215,33201,35613,34200,1226,126746
100928,"F","西区",0,0,0,5695,0,0,16790,22485
100929,"M","西区",185432,133292,358285,110662,349814,136057,53811,1327353
100930,"M","北区",0,3588,0,2748,8427,0,0,14763
100931,"M","東区",10641,25652,9435,10400,11038,2052,2490,71708
100933,"F","東区",18631,8085,18317,17640,9108,42432,0,114213
100936,"M","東区",4820,2759,0,129510,15421,0,16830,169340
100937,"F","北区",0,0,6300,45268,20522,6660,0,78750
100938,"F","東区",0,22730,0,8876,12217,4194,4305,52322
100939,"M","北区",21657,109124,20875,85425,106317,67660,44605,455663
100941,"M","西区",7840,24578,0,0,0,2000,0,34418
100944,"F",,14011,6726,32760,47757,50331,1080,14852,167517
100946,"M","東区",0,0,0,45068,0,3310,0,48378
100947,"F","西区",0,0,0,11670,0,44117,5037,60824
100948,"F","北区",36140,5060,0,0,0,1280,1872,44352
100949,"M","西区",0,25757,71438,47866,26520,3409,1500,176490
100953,"F","西区",0,2065,0,5000,18900,0,0,25965
100956,"F","北区",0,15150,36190,2682,10112,0,0,64134
100957,"M","西区",1990,13587,31176,26477,5270,2356,152217,233073
100959,"F","東区",9950,42855,18846,46910,43632,32275,14177,208645
100962,"F","東区",3831,7051,0,14443,5947,2954,3280,37506
100963,"F","東区",0,14138,0,0,16135,0,0,30273
100964,"F","北区",0,7720,1895,11700,40405,82510,11815,156045
100965,"M","西区",0,0,2043,0,2820,7490,34884,47237
100966,"F","東区",0,1640,4327,16176,9300,23175,3094,57712
100968,"F","東区",0,37660,0,57300,1980,13310,0,110250
100972,"F","東区",9750,0,9320,26456,11200,45868,16500,119094
100973,"F","北区",4480,12562,7903,70542,127996,7280,52520,283283
100977,"F","東区",2820,45409,1194,33200,35520,22320,20152,160615
100978,"F","北区",0,2524,0,66200,54669,47346,18540,189279
100979,"F","北区",0,0,0,15315,0,0,0,15315
100981,"F","北区",27456,0,56616,6066,106250,2430,33328,232146
100982,"F","北区",19950,1788,0,0,30309,3158,9504,64709
100985,"M","西区",27303,136382,46304,63917,894807,13268,78250,1260231
100988,"F","北区",1176,27666,0,81244,70243,0,17448,197777
100989,"M","東区",0,6331,0,0,15840,3300,7249,32720
100996,"F","東区",4590,47616,1840,60765,11620,21481,19450,167362
100998,"F","北区",0,0,3648,20362,5285,8924,4445,42664
101002,"F","西区",0,17008,0,0,7550,0,4155,28713
101004,"M","北区",11672,12300,0,22800,3560,38740,1178,90250
101005,"F","東区",0,20489,6770,31259,10386,1052,17610,87566
101008,"M","西区",0,23200,19301,16342,3980,31357,74270,168450
101009,"F","東区",8130,103737,2880,36825,64272,28414,1470,245728
101013,"M","東区",0,5480,1900,17969,1104,25075,12984,64512
101017,"F","北区",0,130846,42280,41416,60348,47740,6184,328814
101022,"F",,2926,0,0,0,0,11400,10558,24884
101023,"F","東区",16720,12815,8611,2992,29198,4635,0,74971
101025,,"東区",22368,4180,0,10880,8900,17400,0,63728
101026,"F","東区",3875,21141,15205,93058,25218,30655,38991,228143
101027,"F","東区",0,33432,8000,90343,27560,0,0,159335
101028,"M","東区",45376,6412,97568,50222,75662,32680,10780,318700
101029,"M","西区",0,6916,46400,4740,3980,0,0,62036
101030,"F","西区",5000,22465,13975,4853,0,4300,0,50593
101032,"F","東区",4240,65026,81800,25120,50094,191266,0,417546
101033,"M","西区",19492,101137,20071,33243,59142,4440,3750,241275
101036,"M","北区",4240,29510,0,30068,9806,3726,4650,82000
101037,"M","東区",0,43196,7743,67613,72364,8430,205808,405154
101042,"F","東区",0,91370,4928,21006,2915,19668,6840,146727
101043,"M","東区",0,0,10364,29102,3880,13080,13461,69887
101046,"F","東区",0,0,9609,12604,1920,19280,0,43413
101050,"M","北区",0,283580,7632,24800,0,14840,12360,343212
101051,"M","西区",0,0,5980,11570,42036,25841,3480,88907
101055,"M","北区",0,0,8100,53200,15238,20850,0,97388
101056,"F","東区",0,14441,0,1240,0,14361,0,30042
101060,"F","東区",0,4950,1490,41148,18590,8380,0,74558
101062,"F","東区",2980,1728,16258,28719,0,5144,3480,58309
101065,"F","東区",0,0,123186,12990,0,0,23775,159951
101068,"F","西区",1120,21714,3800,0,21660,4450,1330,54074
101069,"M","東区",0,0,0,107215,2140,0,2560,111915
101070,"F","西区",0,8934,0,54420,0,16838,0,80192
101073,"M","北区",0,0,32510,23318,10335,8882,15858,90903
101074,"F","西区",0,6113,25682,0,27423,3488,25938,88644
101076,"M","北区",0,14502,1571,9957,7050,20930,0,54010
101077,"M","北区",6687,54542,0,7322,2056,0,0,70607
101078,"M","北区",0,3450,0,4435,31451,0,6669,46005
101081,"M","東区",8047,7380,14706,47853,10430,30127,1501,120044
101083,"F","西区",0,0,6900,36736,29816,0,0,73452
101084,"F","東区",0,0,20300,66100,0,0,0,86400
101085,"F","北区",0,0,0,0,65522,2770,0,68292
101086,"M","西区",0,0,0,0,0,41916,11500,53416
101087,"M","西区",0,16046,24372,41016,2171,37327,3676,124608
101090,"F","東区",14591,26930,0,13080,3428,11380,10840,80249
101094,"M","西区",5985,0,4400,12732,83552,15470,10850,132989
101095,"M","東区",0,13365,0,0,34424,0,0,47789
101098,"M","北区",0,0,0,88200,328180,0,70246,486626
101099,"F","北区",1620,32734,4431,0,5160,39040,26422,109407
101100,"M","東区",0,0,12850,0,0,89945,0,102795
101103,"M","東区",3771,11440,0,51380,43400,0,9420,119411
101104,"M","東区",25400,29870,24972,24748,2200,31398,84199,222787
101105,"F","西区",9240,173141,0,94475,164767,105920,227805,775348
101108,"F","東区",42117,32634,0,50766,95080,13240,0,233837
101109,"M","北区",0,10555,0,0,32710,0,0,43265
101110,"M","北区",256695,298140,4320,78122,0,60664,0,697941
101111,"F","東区",0,8730,5390,19586,20921,2200,30954,87781
101116,"M","東区",1060,38100,24055,1300,0,1080,0,65595
101117,"F","北区",0,2980,0,9138,5820,19040,0,36978
101120,"F","西区",0,5181,5385,3900,3781,4320,9984,32551
101121,"F","西区",3400,12000,92160,9580,70660,5744,13639,207183
101122,"M","西区",0,17973,9376,4675,10780,7230,13595,63629
101128,"M","北区",0,0,6300,1780,5460,0,11240,24780
101129,"F","北区",0,29122,1500,112832,63634,52360,71532,330980
101130,"F","北区",0,42070,0,7648,0,8880,0,58598
101133,"F",,0,15451,0,23420,2915,0,3456,45242
101135,"F","東区",0,6080,12995,13000,102345,51500,12733,198653
101136,"F","東区",283821,346808,52020,88173,191103,115560,105737,1183222
101137,"M","北区",0,1710,4742,52762,23784,1140,0,84138
101139,"F","西区",0,18305,0,87980,128047,68265,0,302597
101140,"F","北区",0,3681,0,4396,10800,15480,0,34357
101141,"M","北区",0,8486,0,11520,10520,3540,26100,60166
101145,"M","西区",36592,38376,0,0,8714,21750,3170,108602
101146,"F","北区",0,51658,0,0,1033,1340,23520,77551
101147,"F","東区",0,8915,43049,0,0,19575,43700,115239
101148,"F","東区",0,0,2880,38248,35885,14230,14940,106183
101152,"M","北区",3875,12490,0,31160,0,0,0,47525
101153,"F","東区",0,20000,44841,14500,37300,13450,12930,143021
101154,"M","北区",12720,75420,1000,52637,2340,9360,0,153477
101155,"M","東区",2310,1111,2880,4100,0,27330,58604,96335
101157,"F","北区",3836,47218,4320,22089,2886,45290,29506,155145
101160,"F","西区",0,38059,20407,32003,49968,4418,12565,157420
101163,"M","西区",6648,125859,12486,118116,16250,86960,14280,380599
101164,"F","西区",3386,0,16730,0,7460,10640,0,38216
101165,"M","西区",0,,0,13000,1980,0,0,28230
101166,"F","北区",3728,8944,0,4770,163607,6800,0,187849
101167,"F","西区",0,80078,11028,90371,183350,41933,66310,473070
101168,"M","北区",0,19360,0,0,30656,0,0,50016
101169,"M","西区",23868,13384,30300,17214,22315,16626,44610,168317
101171,"F","西区",20578,42509,40654,33180,76922,20492,3920,238255
101174,"F","西区",2660,17680,9500,11785,22740,7900,4920,77185
101175,"F","西区",0,1450,67302,29320,66748,0,54662,219482
101176,"F","西区",3102,10112,0,46052,42262,11801,0,113329
101177,"F","西区",0,62843,11140,5707,2980,2125,68144,152939
101178,"M","西区",0,0,1250,20489,0,11380,21123,54242
101179,"F","北区",1462,4800,0,183004,8500,15512,33387,246665
101180,"F","北区",0,4100,34085,16020,15780,0,0,69985
101183,"F","東区",14717,31350,37799,16717,7791,37380,9406,155160
101185,"M","東区",0,32920,0,9900,0,0,0,42820
101187,"M","北区",0,2820,0,15570,8605,12000,1960,40955
101188,"F","西区",0,11640,19400,84000,0,4700,0,119740
101192,"M","北区",0,0,2475,4500,95245,0,0,102220
101194,"M","東区",12300,29194,14090,85620,4680,3310,2792,151986
101195,"F","東区",0,0,0,0,103662,0,95900,199562
101196,"F","西区",0,40552,4710,13164,40096,19200,0,117722
101197,"M","北区",0,80523,0,4400,3760,6010,3980,98673
101199,"M","東区",0,0,0,3100,65974,0,0,69074
101200,"F","東区",1486,22211,3440,0,3180,0,0,30317
101202,"F","北区",7360,0,28350,2470,13680,0,15960,67820
101204,"F","北区",0,0,0,0,15440,0,22829,38269
101206,"M","西区",23926,19928,7019,26430,58791,3870,2880,142844
101208,"M","東区",0,4480,0,9174,13870,8750,0,36274
101209,"F","西区",0,0,39480,15618,37660,2860,6816,102434
101210,"F","北区",0,12740,64000,35136,71070,6275,4071,193292
101211,"M","西区",0,51287,42049,58248,9770,18903,1015,181272
101212,"F","東区",10576,32724,9400,37778,31884,135647,25163,283172
101213,"M","東区",8245,3692,10924,63322,40755,32400,48995,208333
101214,"F","北区",0,0,9163,9789,190168,79532,7050,295702
101215,"M","東区",0,6000,0,66740,6385,16052,20054,115231
101216,"M","東区",12623,7403,16990,97188,44250,55766,10673,244893
101218,"F","東区",0,7830,0,11918,7960,19800,0,47508
101219,"F","北区",0,5900,0,4200,19876,0,0,29976
101220,"F","北区",10875,18256,88680,5880,17800,0,0,141491
101221,"F","北区",0,0,0,0,18600,0,0,18600
101222,"M","東区",15747,22724,0,11700,24359,7070,0,81600
101224,"M","北区",0,109226,4740,44463,29070,5468,45710,238677
101225,"F","北区",1560,43364,11036,25244,23584,6528,0,111316
101229,"F","北区",0,13660,13230,30870,14013,21000,2280,95053
101230,"M","北区",0,35076,0,82995,18572,8720,1446,146809
101232,"M","東区",0,0,0,13610,11044,0,26100,50754
101237,"M","西区",0,0,7280,14800,18138,2565,0,42783
101240,"M","西区",0,3875,55620,25906,19600,9400,0,114401
101241,"M","北区",0,11152,0,4950,0,0,0,16102
101242,"M","北区",,6274,8876,27233,17738,33368,6200,99689
101244,"F","東区",0,2860,6020,0,12470,0,0,21350
101246,"M","東区",1844,6045,12462,195507,16298,7942,187840,427938
101247,"M","東区",0,24820,0,15792,22690,13452,11305,88059
101250,"F","北区",5580,5340,0,3060,31060,5520,8071,58631
101256,"M","東区",6650,1510,23848,10449,24162,14630,0,81249
101257,"M","西区",0,0,84600,5135,0,0,0,89735
101258,"F","東区",0,3110,0,0,34459,0,10250,47819
101260,"F","北区",12936,0,8700,31602,117813,34614,4780,210445
101261,"F","北区",2094,1605,4880,18207,17746,1666,1080,47278
101263,"F","北区",77937,42811,55997,191292,31318,23567,29763,452685
101264,"M","西区",88752,197130,19563,37013,112082,12900,36043,503483
101265,"F","西区",16870,88168,37399,50295,27118,48978,35335,304163
101266,"M","北区",3862,76141,7980,61625,190498,22200,30520,392826
101271,"F","西区",0,34563,5846,14000,40646,7735,16032,118822
101273,"M","東区",2790,159933,20308,81701,42443,39314,30952,377441
101275,"M","西区",0,32400,36300,18350,50846,16920,11650,166466
101276,"F","西区",0,12450,4974,13540,15150,2500,34795,83409
101277,"F","西区",0,19600,0,3929,0,4520,0,28049
101278,"F","西区",0,0,0,0,7164,37240,0,44404
101279,"M","東区",2370,12810,0,16138,5400,2850,5240,44808
101281,"F","東区",0,0,3610,4080,0,16500,0,24190
101282,"F","西区",3875,16440,0,48580,158140,6560,0,233595
101283,"F","東区",0,11670,0,0,52855,0,66445,130970
101285,"F","北区",0,58920,0,21578,11718,7250,19315,118781
101287,"F","東区",4312,1230,0,0,19012,1800,11356,37710
101289,"M","西区",3000,63153,7000,80852,1980,0,38720,194705
101293,"F","東区",4282,42300,44260,74382,189256,37600,35273,427353
101301,"M","北区",0,29482,18384,22564,7700,13174,4880,96184
101303,"F","西区",0,4964,4050,10859,3420,0,22192,45485
101304,"M","西区",0,11958,7728,18715,2019,2505,1216,44141
101306,"M","北区",3288,55235,30349,39126,45510,10970,18467,202945
101307,"F","西区",21875,9558,7269,21684,1296,7940,0,69622
101309,"F","西区",10064,46586,14464,57001,51694,16220,15190,211219
101310,"M","北区",0,0,38738,21895,53500,1660,31979,147772
101312,"F","北区",18400,23773,32458,13731,1920,60626,91167,242075
101313,"F","東区",0,0,0,18505,77533,15843,16500,128381
101314,"F","北区",0,19285,3960,31775,101474,37442,0,193936
101316,"F","西区",11672,54181,0,23944,132120,23615,0,245532
101317,"M","北区",0,91616,0,3580,0,0,0,95196
101323,"M","東区",0,1800,3204,2380,21940,0,0,29324
101324,"M","東区",3400,2580,2565,41688,21582,0,52397,124212
101325,"F","北区",4980,0,0,12870,86844,0,3480,108174
101327,"F","西区",7078,10410,1729,2164,18122,3580,3800,46883
101328,"F","西区",111737,68215,28417,68167,23460,2340,41570,343906
101330,"F","北区",0,0,0,83055,0,80450,4655,168160
101340,"F","東区",0,0,0,0,59100,0,0,59100
101342,"M","東区",0,0,0,284050,39470,0,9000,332520
101346,"M","西区",0,14433,3240,2400,14070,0,0,34143
101349,"F","北区",0,8650,0,0,0,3950,104900,117500
101350,"M","東区",0,0,39576,43810,8907,30251,0,122544
101354,"F","西区",0,60839,35110,70300,14390,29306,6340,216285
101355,"F","北区",2500,3875,30025,3690,5760,0,2010,47860
101359,"M","北区",0,6000,12520,3435,6700,4980,41800,75435
101361,"F","東区",0,225633,72370,19555,400449,5535,8325,731867
101363,"M","東区",0,0,0,9340,134160,3300,35280,182080
101365,"F","北区",7515,103781,144431,155337,198999,19750,0,629813
101373,"M","北区",0,73227,0,153796,34080,9755,9570,280428
101375,"M","東区",2800,12235,5105,2700,91124,0,82310,196274
101377,"F","西区",48908,107530,6000,21449,42668,1280,0,227835
101380,"M",,0,65534,2945,59971,0,62660,179930,371040
101382,"M","北区",0,2875,22724,21710,52609,20552,9780,130250
101384,"M","北区",4269,67546,0,89414,122005,27758,20151,331143
101385,"F","北区",0,6973,0,13200,78840,0,0,99013
101386,"F","北区",0,15782,10590,10470,27228,0,48040,112110
101389,"F","北区",14999,215516,55440,34393,256496,12850,131867,721561
101390,"M","東区",0,6362,0,57200,18250,4510,3600,89922
101392,"F","西区",11559,4950,33640,93442,33296,62860,4250,243997
101395,"F","東区",0,23737,0,4560,1204,4772,0,34273
101398,"F","西区",0,4078,0,24042,2440,4380,2358,37298
101399,"F","東区",4535,1440,0,6050,371140,0,2380,385545
101400,"M","西区",29900,20920,0,9114,59640,1410,4700,125684
101401,"F","西区",57245,55554,6420,150854,43340,73180,68790,455383
101403,"F","東区",93797,485034,129845,190898,215190,83857,97287,1295908
101405,"M","西区",8800,2433,31613,18311,58961,51287,33040,204445
101406,"M","西区",3402,6031,1370,4608,32660,7980,8800,64851
101407,"F","東区",0,0,0,34128,11400,0,0,45528
101408,"M","西区",0,43760,1985,39643,60045,27420,32370,205223
101412,"F","東区",1395,0,1903,0,56220,0,0,59518
101415,"F","西区",0,11530,1440,66430,23950,58615,0,161965
101419,"F",,2477,45854,16440,34200,0,0,24824,123795
101422,"M","北区",0,0,0,0,22168,0,0,22168
101423,"M","北区",0,0,0,7820,42540,0,0,50360
101425,"F","東区",0,7830,17752,4562,16961,0,1960,49065
101427,"F","東区",40251,430081,226585,222087,203078,46517,80484,1249083
101429,"F","西区",0,73920,0,0,7960,4560,0,86440
101430,"M","東区",18676,42619,76392,58995,36284,13560,39916,286442
101433,"F","東区",4096,7315,18084,15692,1578,6968,52285,106018
101435,"F","北区",1240,21912,1663,43112,5456,9260,22000,104643
101436,"F","東区",36539,9869,7798,89427,28539,16445,8334,196951
101438,"M","北区",7406,3720,0,1300,18580,0,1690,32696
101443,"F","北区",0,129892,2623,3300,3566,10030,0,149411
101446,"F","東区",0,30240,1350,89930,51520,40650,21350,235040
101448,"M","北区",0,0,0,0,122554,0,7640,130194
101449,"F","東区",0,4872,1083,240218,103622,42130,0,391925
101450,"M","西区",0,77316,0,2790,58195,0,56400,194701
101451,"M","西区",0,0,6026,29288,31603,1700,3280,71897
101454,"F","北区",13865,8112,3326,189803,161720,396366,64298,837490
101455,"F","北区",25130,36340,47370,19674,52910,33255,6530,221209
101456,"F","北区",44255,14725,0,7600,2085,5540,0,74205
101457,"F","東区",3902,4524,0,22800,0,6460,10800,48486
101460,"M","西区",0,0,0,1090,15345,49529,13394,79358
101461,"F","西区",10380,0,4875,19920,26660,16902,9260,87997
101464,"F","東区",,97980,66972,61520,56814,11118,1464,305440
101465,"M","東区",15657,13444,1492,58276,5130,12880,29953,136832
101471,"F","西区",0,13925,13216,10580,30390,6480,5410,80001
101473,"F","北区",0,0,0,36354,12840,7920,10140,67254
101475,"F","東区",0,4266,3610,10977,73978,59530,218910,371271
101478,"F","西区",0,6122,2850,1800,97314,4437,0,112523
101479,"M","東区",0,9200,0,32120,0,5250,0,46570
101480,"M","北区",39833,10053,0,66372,4800,1240,29992,152290
101481,"M","北区",0,174092,7420,22087,120856,0,104950,429405
101482,"F","北区",28316,35167,24779,68192,142341,37930,95765,432490
101483,"M","北区",0,11700,21751,12800,138490,0,0,184741
101485,"M","西区",0,16967,0,6443,20068,18747,27632,89857
101487,"M","東区",3680,8377,0,15849,11810,24071,0,63787
101490,"F","東区",0,10426,38770,3080,5322,24018,4614,86230
101493,"M","西区",0,10859,10426,31858,101671,37875,0,192689
101495,"M","東区",4980,25720,3000,0,19680,0,0,53380
101500,"F","東区",22724,266204,42147,143101,24480,6349,17533,522538
101501,"F","東区",14040,36820,8455,34272,249108,31140,15617,389452
101502,"F","北区",0,0,0,0,190878,3450,19748,214076
101503,"M","東区",2100,1244,0,8098,3256,13137,3480,31315
101511,"F","北区",0,1141014,3800,99970,143218,37270,5554,1430826
101516,"F","北区",36570,284885,27280,206315,278995,38820,53073,925938
101517,"M","北区",72672,47577,61454,38034,126924,2680,3000,352341
101519,"F","東区",3955,37435,49340,45422,0,4180,8670,149002
101520,"F","北区",0,33780,0,0,74820,13280,556050,677930
101521,"F","西区",0,31420,0,1800,5980,6750,2833,48783
101522,"F","北区",1508,0,6019,1960,290580,5543,0,305610
101524,"F","北区",0,18760,0,0,0,15360,0,34120
101528,"M","北区",0,4032,0,6840,1449,19110,2030,33461
101529,"M","東区",14115,0,1930,34130,23480,19185,0,92840
101530,"F","北区",7085,75996,6667,9780,20250,34349,4154,158281
101532,"M","北区",1800,22715,0,6268,16192,1280,0,48255
101533,"M","北区",0,10000,0,9051,17248,0,0,36299
101534,"F","北区",5692,11840,13792,69928,10799,24541,4373,140965
101536,"M","西区",0,5279,5234,35760,1894,14520,2308,64995
101539,"M","東区",62672,92950,8700,16000,1920,14930,0,197172
101541,"M","北区",6780,14750,0,1750,23340,11972,0,58592
101542,"F","北区",0,4180,5161,19330,0,0,0,28671
101543,"M","東区",0,12940,0,0,26269,6920,6380,52509
101545,"M","北区",0,0,7016,9900,13357,4780,0,35053
101547,"M","西区",1396,15760,16200,13376,52955,5280,0,104967
101548,"M","北区",47400,15170,15762,40860,4290,4283,5452,133217
101554,"F","北区",0,1058,0,173637,17678,0,10760,203133
101556,"F","東区",45462,12493,25206,27222,1045,71405,0,182833
101558,"F","東区",0,0,11360,0,10180,1620,4170,27330
101559,"M","西区",22808,43274,87440,63076,132315,2270,122140,473323
101560,"M","西区",0,0,3134,0,10960,0,3480,17574
101562,"M","東区",22436,367261,57553,73889,28348,62740,64329,676556
101563,"F","北区",0,12609,1885,0,26592,0,0,41086
101564,"M","北区",0,3800,31411,17711,1980,6580,29094,90576
101565,"F","東区",51900,31983,0,188663,87551,56820,15759,432676
101566,"F","東区",0,18400,7000,1260,43570,6048,0,76278
101568,"F","北区",1060,11319,7874,16273,20050,23530,25382,105488
101570,"M","東区",62347,13764,10795,15175,16876,26063,3100,148120
101571,"M","東区",3290,0,0,0,36408,0,0,39698
101573,"F","西区",0,2682,0,2930,0,0,4875,10487
101574,"F","東区",0,0,0,63022,11490,9900,8820,93232
101579,"F","東区",0,63242,0,97020,15429,3440,116974,296105
101582,"F","西区",0,18964,1200,12221,9885,3200,13784,59254
101584,"F","北区",0,71705,20748,3680,49664,10525,0,156322
101585,"M","北区",0,0,0,30400,153600,0,0,184000
101586,"M","東区",0,2942,1895,9911,57664,2897,3372,78681
101587,"M","北区",0,18114,0,27761,7342,29434,56140,138791
101590,"F","東区",12949,0,6800,33620,24025,13980,7470,98844
101591,"M","西区",0,63094,141807,101053,40878,43764,8616,399212
101592,,"東区",0,4860,0,7892,47104,45600,0,105456
101598,"F","東区",9948,45136,0,12890,63450,2230,1200,134854
101599,"F","西区",317195,3600,0,115045,0,0,0,435840
101601,"F","北区",0,0,0,93216,7164,69695,8700,178775
101603,"M","西区",61205,16640,14785,13678,72304,3980,2034,184626
101606,"F","西区",31689,39487,51591,19651,29601,29083,18479,219581
101607,"M","東区",0,18206,8700,23724,0,7030,2520,60180
101608,"F","東区",7592,23154,44440,32853,1510,3460,1014,114023
101609,"F","東区",0,51920,0,189936,39188,64540,0,345584
101612,"F","北区",20707,21110,0,13940,58965,11095,0,125817
101616,"F","北区",0,0,4400,17866,0,55310,0,77576
101618,"M","東区",7318,23944,43439,7892,109901,6520,21537,220551
101620,"F","北区",0,67672,0,22730,0,0,0,90402
101622,"F","北区",9555,24000,11520,0,46980,0,0,92055
101623,"F","東区",0,0,0,9842,5681,9052,29407,53982
101624,"F","西区",68309,41092,2735,52903,17250,22976,0,205265
101625,"F","東区",0,153776,556503,13120,96122,3207,19615,842343
101626,"M","北区",10778,77765,31441,46024,288431,38062,17602,510103
101628,"F","西区",38960,7120,802485,1100,17220,7500,0,874385
101629,"F","西区",0,25000,3086,23612,42954,4873,12644,112169
101630,"M","東区",0,0,0,5063,39840,35300,2835,83038
101631,"M","東区",0,16219,21890,0,99316,49862,0,187287
101632,"M","西区",38570,0,0,5400,0,26400,0,70370
101633,"F","西区",0,11692,60426,47541,1780,21198,261927,404564
101634,"M","西区",0,4000,15950,53124,48070,5280,4410,130834
101636,"M","東区",4096,69657,10230,16378,14326,0,9880,124567
101637,"F","東区",0,0,0,0,0,0,22750,22750
101638,"F","東区",0,1015,5760,12790,18380,49790,0,87735
101639,"M","東区",0,6592,5130,3000,0,27345,0,42067
101641,"M","東区",0,0,0,0,61490,0,0,61490
101646,"F","西区",2880,0,41831,13960,29700,0,0,88371
101647,"M","東区",0,15960,7600,150646,9960,0,0,184166
101649,"M","西区",11484,19221,1370,38348,28034,21670,21080,141207
101650,"M","北区",0,2148,1292,9726,23018,8344,23030,67558
101657,"M","東区",0,26048,17148,23836,70404,14029,53330,204795
101659,"M","西区",0,20366,1692,0,3500,1180,58650,85388
101664,"M","西区",14542,6800,4116,2895,2432,0,0,30785
101666,"M","西区",0,0,6650,10725,6180,11572,8190,43317
101667,"M","北区",0,0,1140,36500,1207,3740,4918,47505
101669,"F","東区",0,3870,27578,48900,3629,21620,31734,137331
101670,"F","東区",1385,1482,0,17164,8347,9348,6177,43903
101673,"F","東区",0,1243,1140,209019,92146,48780,10915,363243
101675,"F","西区",6462,10631,3456,15615,3638,11810,0,51612
101677,"M","北区",0,14471,1070,12485,0,10347,0,38373
101679,"M","西区",0,12840,6450,12600,0,8800,0,40690
101680,"F","西区",11040,0,8400,19870,26300,114172,0,179782
101681,"F","西区",0,4000,1235,39998,7850,9840,0,62923
101682,"M","西区",0,0,0,0,132600,0,0,132600
101685,"F","西区",0,32824,0,3376,9460,17680,0,63340
101687,"M","西区",123358,33309,43585,65937,92302,41554,50509,450554
101688,"F","北区",0,0,61738,0,0,2640,7328,71706
101691,"F","西区",16464,20452,21528,26790,53683,51760,65764,256441
101692,"M","東区",0,12967,13704,17600,17531,5320,7440,74562
101695,"M","北区",10794,4930,0,5212,1550,0,22750,45236
101696,"F","東区",31060,207756,21538,40511,62979,48332,29330,441506
101699,"F","東区",41328,94831,24505,104157,43774,138178,49550,496323
101700,"M","北区",1800,1680,4320,17200,0,1900,0,26900
101701,"F","北区",1782,13663,1900,19600,57683,15562,2561,112751
101702,"M","東区",0,0,0,0,39550,0,0,39550
101711,"M","東区",1047,22736,0,50195,3500,53278,36360,167116
101713,"F","西区",0,0,120940,0,0,0,0,120940
101714,"M","北区",0,0,0,0,282480,0,3200,285680
101718,"M","西区",0,0,0,0,0,0,39345,39345
101719,"M","西区",5507,133601,48214,202771,62278,19754,63352,535477
101723,"M","東区",0,28980,28315,7010,13800,0,0,78105
101726,"M","北区",0,17596,4825,26990,28132,15304,25097,117944
101730,"F","北区",16733,132529,15000,100372,87027,32504,43731,427896
101731,"F","北区",21154,299251,154789,140109,249474,20845,196245,1081867
101733,"M","東区",13798,16276,0,25942,0,4961,23620,84597
101734,"M","西区",0,0,9798,0,5400,9800,3723,28721
